English,Japanese
apple,りんご
dog,犬（いぬ）
cat,猫（ねこ）
boooooooooooooooooooooooooook,ある日あるところに、ある人がいました。彼はとても大きな本を持っていました。その本はとても重くて、彼はそれを持ち上げることができませんでした。彼はその本を読むことができませんでしたが、その本にはたくさんの知識が詰まっていました。彼はその本を開いてみましたが、ページが多すぎてどこから読めばいいのかわかりませんでした。彼はその本を閉じて、また別の日に挑戦することにしました。
water,水（みず）
mountain,山（やま）
river,川（かわ）
flower,花（はな）
rain,雨（あめ）
wind,風（かぜ）
sky,空（そら）
sea,海（うみ）
tree,木（き）
fire,火（ひ）
moon,月（つき）
star,星（ほし）
sun,太陽（たいよう）
fish,魚（さかな）
bird,鳥（とり）
friend,友達（ともだち）
school,学校（がっこう）
music,音楽（おんがく）
love,愛（あい）
dream,夢（ゆめ）
time,時間（じかん）
